FROM,TO,OUT
Arbustal Decíduo,Arbustal Decíduo,0.6
Agua,Agua,0
Area Agrícola,Area Agrícola,1.0
Area Urbana,Area Urbana,0.6
Bosque Decíduo,Bosque Decíduo,0.2
Bosque Siempreverde Estacional,Bosque Siempreverde Estacional,0.2
Bosque y Arbustal Humedo de Playas,Bosque y Arbustal Humedo de Playas,0.2
Bosque y Arbustal Siempreverde,Bosque y Arbustal Siempreverde,0.4
Especies Invasoras,Especies Invasoras,1.0
Herbazal Decíduo,Herbazal Decíduo,0.6
Lava Antigua,Lava Antigua,1.0
Herbazal Decíduo de Altura,Herbazal Decíduo de Altura,0.6
Herbazal Húmedo,Herbazal Húmedo,0.4
Lava Reciente,Lava Reciente,0.2
Manglar,Manglar,0.2
