island,energy,range_id,range_low,range_high,range_label,suitable_area_ha,potential_mw
Floreana,Eolic,1,3.25,3.700000047683716,"[3.250, 3.700)",163.0,181.11111111111111
Isabela,Eolic,1,3.25,3.700000047683716,"[3.250, 3.700)",34252.0,38057.777777777774
San Cristobal,Eolic,1,3.25,3.700000047683716,"[3.250, 3.700)",10655.0,11838.888888888889
Santa Cruz,Eolic,1,3.25,3.700000047683716,"[3.250, 3.700)",9360.0,10400.0
Floreana,Eolic,2,3.700000047683716,3.75,"[3.700, 3.750)",5.0,5.555555555555555
Isabela,Eolic,2,3.700000047683716,3.75,"[3.700, 3.750)",702.0,780.0
San Cristobal,Eolic,2,3.700000047683716,3.75,"[3.700, 3.750)",3639.0,4043.333333333333
Santa Cruz,Eolic,2,3.700000047683716,3.75,"[3.700, 3.750)",221.0,245.55555555555554
Floreana,Eolic,3,3.75,4.900000095367432,"[3.750, 4.900]",56.0,62.22222222222222
Isabela,Eolic,3,3.75,4.900000095367432,"[3.750, 4.900]",36927.0,41030.0
San Cristobal,Eolic,3,3.75,4.900000095367432,"[3.750, 4.900]",5879.0,6532.222222222222
Santa Cruz,Eolic,3,3.75,4.900000095367432,"[3.750, 4.900]",3615.0,4016.6666666666665
Floreana,Solar,1,3.5,3.799999952316284,"[3.500, 3.800)",798.4217943225752,614.1706110173656
Isabela,Solar,1,3.5,3.799999952316284,"[3.500, 3.800)",28565.75753020769,21973.6596386213
San Cristobal,Solar,1,3.5,3.799999952316284,"[3.500, 3.800)",6919.655550795652,5322.811962150501
Santa Cruz,Solar,1,3.5,3.799999952316284,"[3.500, 3.800)",7718.077345118228,5936.9825731678675
Floreana,Solar,2,3.799999952316284,4.0,"[3.800, 4.000)",532.2811962150502,409.44707401157706
Isabela,Solar,2,3.799999952316284,4.0,"[3.800, 4.000)",28477.043997505185,21905.418459619374
San Cristobal,Solar,2,3.799999952316284,4.0,"[3.800, 4.000)",3371.1142426953174,2593.164802073321
Santa Cruz,Solar,2,3.799999952316284,4.0,"[3.800, 4.000)",1330.7029905376253,1023.6176850289424
Floreana,Solar,3,4.0,4.599999904632568,"[4.000, 4.600]",0.0,0.0
Isabela,Solar,3,4.0,4.599999904632568,"[4.000, 4.600]",14194.165232401338,10918.58864030872
San Cristobal,Solar,3,4.0,4.599999904632568,"[4.000, 4.600]",1774.2706540501672,1364.82358003859
Santa Cruz,Solar,3,4.0,4.599999904632568,"[4.000, 4.600]",2572.6924483727425,1978.9941910559558
