technology,island,suitable_area_ha,potential_mw,suitability_mean
solar,Isabela,460511.9482587209,354239.9601990161,2.7979770425977653
solar,Floreana,16234.57648455903,12488.135757353099,2.9639345596396858
solar,Santa Cruz,95721.90178600652,73632.23214308194,3.0096384637106115
solar,San Cristobal,53316.833154207525,41012.94858015963,3.0971714216540143
solar,TOTAL,625785.259683494,481373.2766796107,
eolic,Isabela,467382.79496795934,519314.21663106594,0.4132560353583154
eolic,Floreana,16965.556054933575,18850.617838815084,0.45014437674524227
eolic,Santa Cruz,99974.55855311429,111082.84283679364,0.51952717252194
eolic,San Cristobal,55113.37111582172,61237.07901757969,0.5831384676328035
eolic,TOTAL,639436.2806918289,710484.7563242543,
